Date,Open,High,Low,Close,Adj Close,Volume
2023-10-13,63.599998,65.000000,62.750000,63.000000,63.000000,21878988
2023-10-16,63.950001,66.199997,63.750000,64.000000,64.000000,33174077
2023-10-17,64.750000,65.449997,63.200001,64.699997,64.699997,25450460
2023-10-18,65.000000,67.449997,64.099998,64.599998,64.599998,52791721
2023-10-19,66.599998,72.400002,65.650002,70.750000,70.750000,175138159
2023-10-20,72.250000,74.349998,68.000000,68.500000,68.500000,158772161
2023-10-23,68.800003,69.500000,61.700001,62.400002,62.400002,77959784
2023-10-25,63.049999,65.300003,61.200001,63.549999,63.549999,68858472
2023-10-26,63.000000,64.500000,60.750000,63.799999,63.799999,51346194
2023-10-27,64.500000,65.599998,63.500000,64.250000,64.250000,32446451
2023-10-30,64.500000,68.449997,63.150002,67.099998,67.099998,55216321
2023-10-31,67.449997,67.650002,65.250000,65.599998,65.599998,26461903
2023-11-01,66.000000,67.650002,65.599998,65.949997,65.949997,23932165
2023-11-02,66.900002,68.349998,65.949997,67.349998,67.349998,19362467
2023-11-03,68.400002,68.400002,66.800003,67.000000,67.000000,17675248
2023-11-06,67.650002,68.099998,67.000000,67.449997,67.449997,12056333
2023-11-07,67.550003,68.849998,66.599998,68.050003,68.050003,19756138
2023-11-08,68.349998,68.900002,67.599998,68.250000,68.250000,13266819
2023-11-09,68.400002,68.500000,66.400002,67.000000,67.000000,11765703
2023-11-10,66.050003,66.449997,64.650002,65.750000,65.750000,17890122
2023-11-13,66.900002,70.349998,66.300003,68.150002,68.150002,30300465
2023-11-15,69.000000,69.400002,67.900002,68.150002,68.150002,9503528
2023-11-16,68.400002,68.400002,67.050003,67.250000,67.250000,9883744
2023-11-17,67.199997,67.949997,66.400002,67.050003,67.050003,10359123
2023-11-20,67.449997,68.849998,67.000000,67.349998,67.349998,9809973
2023-11-21,67.650002,68.400002,66.599998,67.300003,67.300003,14237220
2023-11-22,67.550003,67.599998,65.800003,65.949997,65.949997,8529552
2023-11-23,66.099998,66.550003,64.900002,65.099998,65.099998,6948472
2023-11-24,65.099998,65.550003,64.050003,64.250000,64.250000,8554234
2023-11-28,64.500000,68.400002,63.799999,68.000000,68.000000,32899699
2023-11-29,68.500000,70.550003,68.449997,70.000000,70.000000,42265882
2023-11-30,70.300003,76.500000,70.099998,76.099998,76.099998,108216222
2023-12-01,77.000000,78.000000,74.300003,74.650002,74.650002,43296875
2023-12-04,77.000000,79.500000,76.400002,78.599998,78.599998,49453119
2023-12-05,78.500000,78.650002,75.900002,77.099998,77.099998,22701429
2023-12-06,77.599998,78.800003,77.199997,78.050003,78.050003,16169829
2023-12-07,78.449997,81.449997,76.650002,81.099998,81.099998,42103048
2023-12-08,81.500000,82.599998,77.400002,78.800003,78.800003,26904594
2023-12-11,79.199997,82.800003,78.849998,79.949997,79.949997,27422511
2023-12-12,80.449997,82.150002,79.650002,80.400002,80.400002,26764745
2023-12-13,80.599998,80.949997,79.550003,80.199997,80.199997,11135352
2023-12-14,83.699997,84.750000,82.199997,82.500000,82.500000,50685738
2023-12-15,83.250000,85.900002,81.550003,82.099998,82.099998,34913238
2023-12-18,82.199997,83.699997,80.800003,82.800003,82.800003,17895635
2023-12-19,83.000000,83.650002,82.000000,82.400002,82.400002,9765887
2023-12-20,82.849998,82.949997,73.000000,75.349998,75.349998,25217566
2023-12-21,73.949997,78.599998,72.500000,78.199997,78.199997,26177171
2023-12-22,78.650002,78.849998,76.800003,78.400002,78.400002,10217786
2023-12-26,78.500000,79.150002,78.000000,78.300003,78.300003,6184108
2023-12-27,78.900002,81.400002,78.699997,79.949997,79.949997,25753924
2023-12-28,80.400002,84.650002,79.550003,82.849998,82.849998,66789947
2023-12-29,83.300003,83.300003,81.150002,81.550003,81.550003,17553965
